team conference colley_ranking wp_ranking massey_ranking
" Golden_State" " W " 0.87406268585848 0.9090909090909101 10.299530330231
" San_Antonio" " W " 0.80397569628583 0.8507462686567199 11.22958985683614
" Cleveland" " E " 0.6924282509226299 0.7121212121212099 5.75538952391281
" Toronto" " E " 0.6593469134188901 0.6818181818181801 3.92961243244308
" Oklahoma_City" " W " 0.65555249192855 0.6716417910447801 6.468821795086559
" LA_Clippers" " W " 0.62970790233517 0.63636363636364 3.71400911210841
" Miami" " E " 0.57736691176686 0.5820895522388101 1.04952790084623
" Boston" " E " 0.5656898812167099 0.5820895522388101 3.5362789449717003
" Memphis" " W " 0.56317630318572 0.5820895522388101 -1.71187857346962
" Atlanta" " E " 0.55882185437766 0.56716417910448 3.20597523990619
" Charlotte" " E " 0.5582243910853699 0.56060606060606 2.08557462629171
" Indiana" " E " 0.5479618158411199 0.53731343283582 1.7623327764619199
" Portland" " W " 0.5159407208259199 0.51470588235294 0.65853611630185
" Chicago" " E " 0.51600655636765 0.50769230769231 -0.9738558116466899
" Detroit" " E " 0.5002504633787399 0.50746268656716 0.22470846269122
" Houston" " W " 0.51132717558098 0.50746268656716 -0.38848891722108
" Dallas" " W " 0.50217823453513 0.50746268656716 -0.41184286578209006
" Utah" " W " 0.4872064942913 0.47761194029851006 1.12433422263523
" Washington" " E " 0.4837092750028 0.46969696969697 -1.25364969853732
" Orlando" " E " 0.43224434566414 0.43939393939393995 -2.16039444345005
" Milwaukee" " E " 0.43502499070781997 0.42647058823529 -3.4661632713594703
" New_York" " E " 0.41439319523409 0.41176470588235 -2.23842239692468
" Denver" " W " 0.42085818870416997 0.41176470588235 -1.97541075375424
" Sacramento" " W " 0.41281707659663 0.39393939393939004 -2.11602848648856
" New_Orleans" " W " 0.38452079098266995 0.36363636363636004 -2.99208260249952
" Minnesota" " W " 0.31998444787248 0.31343283582090004 -4.08437793206401
" Brooklyn" " E " 0.29073556727558003 0.28358208955224 -6.2028794311508895
" Phoenix" " W " 0.29895222580363 0.26865671641791 -6.42425851157498
" LA_Lakers" " W " 0.23672170016845004 0.20588235294117999 -8.21358021252894
" Philadelphia" " E " 0.15081345278487 0.13432835820896002 -10.43090743227192
