team colley_ranking colley_new_ranking difference
" Golden_State" 0.87406268585848 0.85738054575056 -0.01668
" San_Antonio" 0.80397569628583 0.77635943574872 -0.02762
" Oklahoma_City" 0.65555249192855 0.6393474081076099 -0.01621
" Cleveland" 0.6924282509226299 0.63922206462762 -0.05321
" LA_Clippers" 0.62970790233517 0.6286529268390799 -0.00105
" Toronto" 0.6593469134188901 0.61874915828411 -0.0406
" Miami" 0.57736691176686 0.57895908529024 0.00159
" Boston" 0.5656898812167099 0.5679836730036 0.00229
" Memphis" 0.56317630318572 0.56319815444827 2e-05
" Atlanta" 0.55882185437766 0.56201620660227 0.00319
" Charlotte" 0.5582243910853699 0.55799766853776 -0.00023
" Indiana" 0.5479618158411199 0.5456242012447899 -0.00234
" Chicago" 0.51600655636765 0.5164592157555 0.00045
" Portland" 0.5159407208259199 0.51312114994743 -0.00282
" Houston" 0.51132717558098 0.51135897363951 3e-05
" Detroit" 0.5002504633787399 0.50353302341848 0.00328
" Dallas" 0.50217823453513 0.50184817460633 -0.00033
" Utah" 0.4872064942913 0.48614881714100006 -0.00106
" Washington" 0.4837092750028 0.48365844804039 -5e-05
" Orlando" 0.43224434566414 0.4359797918383 0.00374
" Milwaukee" 0.43502499070781997 0.4341017169378 -0.00092
" Denver" 0.42085818870416997 0.41819492776516 -0.00266
" New_York" 0.41439319523409 0.41587480030077 0.00148
" Sacramento" 0.41281707659663 0.41148275855424 -0.00133
" New_Orleans" 0.38452079098266995 0.38178122289752 -0.00274
" Minnesota" 0.31998444787248 0.31915437173807 -0.00083
" Philadelphia" 0.15081345278487 0.30472218904112 0.15391
" Phoenix" 0.29895222580363 0.29722835468351005 -0.00172
" Brooklyn" 0.29073556727558003 0.29477726529328996 0.00404
" LA_Lakers" 0.23672170016845004 0.23508426991701997 -0.00164
