team massey_ranking massey_new_ranking difference
" Golden_State" 10.299530330231 10.14450389786709 -0.15503
" San_Antonio" 11.22958985683614 9.43132588607324 -1.79826
" Oklahoma_City" 6.468821795086559 5.8033187422792105 -0.6655
" Cleveland" 5.75538952391281 5.618134650260821 -0.13725
" LA_Clippers" 3.71400911210841 3.6410100631261404 -0.073
" Boston" 3.5362789449717003 3.6400006225566 0.10372
" Toronto" 3.92961243244308 3.60506867727522 -0.32454
" Atlanta" 3.20597523990619 3.30484744252047 0.09887
" Charlotte" 2.08557462629171 2.12436125428711 0.03879
" Indiana" 1.7623327764619199 1.6923383766068198 -0.06999
" Miami" 1.04952790084623 1.18395582821467 0.13443
" Utah" 1.12433422263523 1.04804497776374 -0.07629
" Portland" 0.65853611630185 0.48596211906421005 -0.17257
" Detroit" 0.22470846269122 0.42623804465636 0.20153
" Houston" -0.38848891722108 -0.484377987139 -0.09589
" Dallas" -0.41184286578209006 -0.51444342322863 -0.1026
" Chicago" -0.9738558116466899 -0.8430680150084201 0.13079
" Washington" -1.25364969853732 -1.07425078536559 0.1794
" Memphis" -1.71187857346962 -1.7843722380651 -0.07249
" Orlando" -2.16039444345005 -1.96137678962282 0.19902
" New_York" -2.23842239692468 -2.13383713702878 0.10459
" Denver" -1.97541075375424 -2.16817407287445 -0.19276
" Sacramento" -2.11602848648856 -2.2170107914976 -0.10098
" Philadelphia" -10.43090743227192 -2.61510764298844 7.8158
" Milwaukee" -3.4661632713594703 -3.4901826829900497 -0.02402
" New_Orleans" -2.99208260249952 -3.8576424535361804 -0.86556
" Minnesota" -4.08437793206401 -4.67605139708645 -0.59167
" Phoenix" -6.42425851157498 -6.52851190959473 -0.10425
" Brooklyn" -6.2028794311508895 -8.59541460027445 -2.39254
" LA_Lakers" -8.21358021252894 -9.205288656251 -0.99171
