team wp_ranking wp_new_ranking difference
" Golden_State" 0.9090909090909101 0.89393939393939 -0.01515
" San_Antonio" 0.8507462686567199 0.8208955223880601 -0.02985
" Oklahoma_City" 0.6716417910447801 0.65671641791045 -0.01493
" Cleveland" 0.7121212121212099 0.65151515151515 -0.06061
" Toronto" 0.6818181818181801 0.63636363636364 -0.04545
" LA_Clippers" 0.63636363636364 0.63636363636364 0.0
" Miami" 0.5820895522388101 0.5820895522388101 0.0
" Boston" 0.5820895522388101 0.5820895522388101 0.0
" Memphis" 0.5820895522388101 0.5820895522388101 0.0
" Atlanta" 0.56716417910448 0.56716417910448 0.0
" Charlotte" 0.56060606060606 0.56060606060606 0.0
" Indiana" 0.53731343283582 0.53731343283582 0.0
" Portland" 0.51470588235294 0.51470588235294 0.0
" Chicago" 0.50769230769231 0.50769230769231 0.0
" Dallas" 0.50746268656716 0.50746268656716 0.0
" Houston" 0.50746268656716 0.50746268656716 0.0
" Detroit" 0.50746268656716 0.50746268656716 0.0
" Utah" 0.47761194029851006 0.47761194029851006 0.0
" Washington" 0.46969696969697 0.46969696969697 0.0
" Orlando" 0.43939393939393995 0.43939393939393995 0.0
" Milwaukee" 0.42647058823529 0.42647058823529 0.0
" New_York" 0.41176470588235 0.41176470588235 0.0
" Denver" 0.41176470588235 0.41176470588235 0.0
" Sacramento" 0.39393939393939004 0.39393939393939004 0.0
" New_Orleans" 0.36363636363636004 0.36363636363636004 0.0
" Minnesota" 0.31343283582090004 0.31343283582090004 0.0
" Philadelphia" 0.13432835820896002 0.29850746268656997 0.16418
" Brooklyn" 0.28358208955224 0.28358208955224 0.0
" Phoenix" 0.26865671641791 0.26865671641791 0.0
" LA_Lakers" 0.20588235294117999 0.20588235294117999 0.0
